Weapon,Profile,Category/Faction,MinRange,MaxRange,StrType,Str,StrengthPlus,ArmourPiercing,ArmourBane,SpecialRules,Source
Hand Weapon,Default,Rulebook Combat,0,0,user,-1,0,-1,-1,-1,https://tow.whfb.app/weapons-of-war/hand-weapon
Two Hand Weapons / Additional Hand Weapon,Default,Rulebook Combat,0,0,user,-1,0,-1,-1,-1,https://tow.whfb.app/weapons-of-war/two-hand-weapons-additional-hand-weapon
Flail,Default,Rulebook Combat,0,0,user,-1,+2,-2,Armour Bane (1),-1,https://tow.whfb.app/weapons-of-war/flail
Great Weapon,Default,Rulebook Combat,0,0,user,-1,+2,-2,-1,-1,https://tow.whfb.app/weapons-of-war/great-weapon
Halberd,Default,Rulebook Combat,0,0,user,-1,+1,-1(-2),-1,-1,https://tow.whfb.app/weapons-of-war/halberd
Morning Star,Default,Rulebook Combat,0,0,user,-1,+1,-1,Armour Bane (1),-1,https://tow.whfb.app/weapons-of-war/morning-star
Whip,Default,Rulebook Combat,0,0,user,-1,0,-1,-1,-1,https://tow.whfb.app/weapons-of-war/whip
Lance,Default,Rulebook Combat,0,0,user,-1,+2,-2,-1,-1,https://tow.whfb.app/weapons-of-war/lance
Cavalry Spear,Default,Rulebook Combat,0,0,user,-1,+1,-1,-1,-1,https://tow.whfb.app/weapons-of-war/cavalry-spear
Throwing Spear,Default,Rulebook Combat,0,0,user,-1,0,-1,-1,-1,https://tow.whfb.app/weapons-of-war/throwing-spear
Thrusting Spear,Default,Rulebook Combat,0,0,user,-1,0,-1,-1,-1,https://tow.whfb.app/weapons-of-war/thrusting-spear
Longbow,Default,Rulebook Missile,0,30,weapon,3,0,-1,Armour Bane (1),-1,https://tow.whfb.app/weapons-of-war/longbow
Shortbow,Default,Rulebook Missile,0,18,weapon,3,0,-1,-1,-1,https://tow.whfb.app/weapons-of-war/shortbow
Warbow,Default,Rulebook Missile,0,24,user,-1,0,-1,-1,-1,https://tow.whfb.app/weapons-of-war/warbow
Handgun,Default,Rulebook Missile,0,24,weapon,4,0,-1,Armour Bane (1),-1,https://tow.whfb.app/weapons-of-war/handgun
Pistol,Default,Rulebook Missile,0,12,weapon,4,0,-1,Armour Bane (1),-1,https://tow.whfb.app/weapons-of-war/pistol
Brace of Pistols,Ranged,Rulebook Missile,0,12,weapon,4,0,-1,Armour Bane (1),Multiple Shots (2); Quick Shot,https://tow.whfb.app/weapons-of-war/brace-of-pistols
Brace of Pistols,Combat,Rulebook Missile,0,0,user,-1,0,-1,-1,-1,https://tow.whfb.app/weapons-of-war/brace-of-pistols
Repeater Handgun,Default,Rulebook Missile,0,24,weapon,4,0,-1,Armour Bane (1),Multiple Shots (3),https://tow.whfb.app/weapons-of-war/repeater-handgun
Repeater Pistol,Default,Rulebook Missile,0,12,weapon,4,0,-1,Armour Bane (1),Multiple Shots (3); Quick Shot,https://tow.whfb.app/weapons-of-war/repeater-pistol
Crossbow,Default,Rulebook Missile,0,30,weapon,4,0,-1,-1,-1,https://tow.whfb.app/weapons-of-war/crossbow
Repeater Crossbow,Default,Rulebook Missile,0,24,weapon,3,0,-1,-1,Multiple Shots (2),https://tow.whfb.app/weapons-of-war/repeater-crossbow
